,circuity_avg,clean_intersection_count,clean_intersection_density_km,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion
96,1.0504956629016535,64,147.78947900389957,37337.704857130295,67.370975,16169.034000000001,79,182.42763814543855,4.571428571428571,240,105,242.46711399077276,0.0,18668.852428565144,67.370975,8084.517,120,2.5619047619047617,"{0: 0, 1: 26, 2: 1, 3: 73, 4: 4, 5: 0, 6: 1}","{0: 0.0, 1: 0.24761904761904763, 2: 0.009523809523809525, 3: 0.6952380952380952, 4: 0.0380952380952381, 5: 0.0, 6: 0.009523809523809525}"
97,1.0228481543796433,143,179.40739875166793,40741.54212450433,64.68885059760967,32473.803000000054,164,205.7539398270877,5.340425531914893,502,188,235.86427248471028,0.0,21079.260289401427,66.14809448818899,16801.616,254,2.856382978723404,"{0: 0, 1: 24, 2: 0, 3: 143, 4: 21}","{0: 0.0, 1: 0.1276595744680851, 2: 0.0, 3: 0.7606382978723404, 4: 0.11170212765957446}"
98,1.095710299813245,48,152.77878118310392,53837.666957744805,52.20587962962957,16914.70499999998,103,327.83780128874383,4.695652173913044,324,138,439.2389959014237,0.0,28453.723912582853,52.585788235294125,8939.584,170,2.5652173913043477,"{0: 0, 1: 35, 2: 0, 3: 93, 4: 10}","{0: 0.0, 1: 0.2536231884057971, 2: 0.0, 3: 0.6739130434782609, 4: 0.07246376811594203}"
99,1.0151170069484319,40,192.53620136465833,41308.223236549464,68.65530399999997,8581.912999999997,50,240.67025170582292,4.8076923076923075,125,52,250.29706177405583,0.0,22073.818212979833,67.4397794117647,4585.905,68,3.1538461538461537,"{0: 0, 1: 2, 2: 0, 3: 38, 4: 12}","{0: 0.0, 1: 0.038461538461538464, 2: 0.0, 3: 0.7307692307692307, 4: 0.23076923076923078}"
100,1.1283741392822424,103,24.746676418928907,14022.489641504098,148.88790051020405,58364.056999999986,144,34.59729518762876,4.666666666666667,392,168,40.363511052233555,0.0,7855.609709101207,147.2811846846846,32696.422999999984,222,2.8511904761904763,"{0: 0, 1: 24, 2: 3, 3: 116, 4: 24, 5: 1}","{0: 0.0, 1: 0.14285714285714285, 2: 0.017857142857142856, 3: 0.6904761904761905, 4: 0.14285714285714285, 5: 0.005952380952380952}"
101,1.052187255480105,105,109.99584324496655,34235.33671904451,88.32545945945955,32680.420000000035,120,125.70953513710464,4.805194805194805,370,154,161.3272367592843,0.0,18628.373269817257,90.26548730964467,17782.301,197,2.74025974025974,"{0: 0, 1: 34, 2: 2, 3: 88, 4: 30}","{0: 0.0, 1: 0.22077922077922077, 2: 0.012987012987012988, 3: 0.5714285714285714, 4: 0.19480519480519481}"
102,1.070876144647688,115,49.25973090093133,24455.452592128473,92.68315259740267,57092.822000000044,179,76.67384201101486,4.562962962962963,616,270,115.65328124566486,0.003246753246753247,12320.059164010414,93.08080258899673,28761.96799999999,309,2.3851851851851853,"{0: 0, 1: 91, 2: 0, 3: 163, 4: 16}","{0: 0.0, 1: 0.337037037037037, 2: 0.0, 3: 0.6037037037037037, 4: 0.05925925925925926}"
103,1.1442979520556364,90,44.810959274202474,18069.437780650685,115.57749044585992,36291.33200000002,105,52.279452486569554,4.391608391608392,314,143,71.19963529123282,0.0,9841.91513041662,116.27570000000006,19766.86900000001,170,2.5734265734265733,"{0: 0, 1: 38, 2: 0, 3: 90, 4: 15}","{0: 0.0, 1: 0.26573426573426573, 2: 0.0, 3: 0.6293706293706294, 4: 0.1048951048951049}"
104,1.0370196056733418,77,100.08159431204345,35933.94420251764,74.11951474530828,27646.578999999987,125,162.47012063643416,4.633540372670807,373,161,209.2615153797272,0.0,20072.87926056562,74.60635748792274,15443.516000000007,207,2.7577639751552794,"{0: 0, 1: 36, 2: 0, 3: 92, 4: 33}","{0: 0.0, 1: 0.2236024844720497, 2: 0.0, 3: 0.5714285714285714, 4: 0.20496894409937888}"
105,1.1555838969235197,38,95.4246440726912,39074.13169040744,101.70000000000003,15560.100000000004,51,128.06991704492765,5.666666666666667,153,54,135.60344157698222,0.013071895424836602,20539.403795368413,102.24001249999998,8179.200999999998,80,3.240740740740741,"{0: 0, 1: 3, 2: 0, 3: 32, 4: 19}","{0: 0.0, 1: 0.05555555555555555, 2: 0.0, 3: 0.5925925925925926, 4: 0.35185185185185186}"
106,1.013818662849361,61,196.52426983962985,43763.171336414394,67.5812736318408,13583.836000000001,71,228.7413632559626,5.153846153846154,201,78,251.29332864739553,0.0,23491.24830656743,66.89493577981652,7291.548000000001,109,3.0641025641025643,"{0: 0, 1: 7, 2: 0, 3: 52, 4: 19}","{0: 0.0, 1: 0.08974358974358974, 2: 0.0, 3: 0.6666666666666666, 4: 0.24358974358974358}"
107,1.0266651521266201,98,119.72939408061423,36784.56314685352,77.20159743589744,30108.623,129,157.60297792244117,4.30939226519337,390,181,221.1328604958283,0.0,20018.65695199782,76.92732394366197,16385.52,213,2.5193370165745854,"{0: 0, 1: 52, 2: 0, 3: 112, 4: 17}","{0: 0.0, 1: 0.287292817679558, 2: 0.0, 3: 0.6187845303867403, 4: 0.09392265193370165}"
